SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024
050,4,8,16,069,Idaho,Nez Perce County,42091,42148,42511,43003,42978,42847,57,363,492,-25,-131,114,430,403,366,383,124,556,642,616,650,-10,-126,-239,-250,-267,0,5,88,26,35,57,483,646,206,100,57,488,734,232,135,10,1,-3,-7,1,1114,1114,1115,1114,1115,1115,10.15840017,9.4253572514,8.5135087985,8.9251383629,13.135047662,15.015085249,14.328747049,15.14710166,-2.976647492,-5.589727998,-5.81523825,-6.221963297,0.1181209322,2.0581425264,0.604784778,0.8156131663,11.410482052,15.108637182,4.7917563183,2.3303233324,11.528602984,17.166779709,5.3965410963,3.1459364987
050,4,8,16,071,Idaho,Oneida County,4564,4564,4604,4740,4955,4976,0,40,136,215,21,8,56,61,52,49,11,52,61,47,43,-3,4,0,5,6,0,0,0,0,0,3,35,135,207,15,3,35,135,207,15,0,1,1,3,0,40,40,40,40,40,40,12.216404887,13.056506849,10.727178958,9.8680898198,11.343804538,13.056506849,9.695719443,8.6597522908,0.872600349,0,1.0314595152,1.2083375289,0,0,0,0,7.6352530541,28.895547945,42.70242393,3.0208438224,7.6352530541,28.895547945,42.70242393,3.0208438224
050,4,8,16,073,Idaho,Owyhee County,11918,11999,12362,12644,12762,12748,81,363,282,118,-14,34,154,141,138,141,28,148,140,126,122,6,6,1,12,19,0,2,9,50,58,82,368,267,56,-90,82,370,276,106,-32,-7,-13,5,0,-1,158,158,158,158,158,158,12.643159148,11.27729345,10.863575533,11.054488436,12.150568532,11.197312645,9.9189167913,9.564876519,0.4925906161,0.0799808046,0.944658742,1.4896119169,0.164196872,0.7198272415,3.9360780918,4.5472363779,30.212224457,21.35487483,4.4084074628,-7.056056448,30.376421329,22.074702072,8.3444855546,-2.508820071
050,4,8,16,075,Idaho,Payette County,25385,25588,26385,26934,27284,27662,203,797,549,350,378,68,316,353,312,320,54,279,362,295,286,14,37,-9,17,34,0,3,-6,6,8,204,789,539,323,338,204,792,533,329,346,-15,-32,25,4,-2,178,178,178,178,178,178,12.160160083,13.241058534,11.509092921,11.647799658,10.736343871,13.578649262,10.881994909,10.410220944,1.4238162123,-0.337590728,0.6270980117,1.2375787136,0.1154445578,-0.225060485,0.22132871,0.2911949914,30.361918689,20.21793357,11.914862223,12.302988389,30.477363246,19.992873085,12.136190933,12.59418338
050,4,8,16,077,Idaho,Power County,7879,7883,7980,8122,8301,8381,4,97,142,179,80,18,108,104,97,99,11,87,72,57,70,7,21,32,40,29,0,10,23,87,108,-3,64,88,53,-56,-3,74,111,140,52,0,2,-1,-1,-1,59,59,59,59,59,59,13.61659207,12.917649981,11.812701699,11.869080446,10.968921389,8.9429884486,6.9414845034,8.3922791032,2.6476706802,3.9746615327,4.8712171954,3.4768013428,1.260795562,2.8567879766,10.5948974,12.948087759,8.0690915968,10.930319215,6.4543627839,-6.713823283,9.3298871588,13.787107192,17.049260184,6.2342644767
050,4,8,16,079,Idaho,Shoshone County,13173,13205,13623,13951,14072,14074,32,418,328,121,2,38,130,146,162,164,33,227,232,209,219,5,-97,-86,-47,-55,0,0,2,10,11,26,543,390,153,48,26,543,392,163,59,1,-28,22,5,-2,192,192,192,192,192,192,9.6913672283,10.589685936,11.561931271,11.653520927,16.92261816,16.827446145,14.916318738,15.56171392,-7.231250932,-6.237760209,-3.354387467,-3.908192994,0,0.1450641909,0.7136994612,0.7816385987,40.480095423,28.287517226,10.919601756,3.4107866127,40.480095423,28.432581417,11.633301217,4.1924252114
050,4,8,16,081,Idaho,Teton County,11630,11734,12273,12553,12632,12932,104,539,280,79,300,33,117,148,141,129,13,57,67,55,47,20,60,81,86,82,0,-1,29,50,59,94,509,153,-54,159,94,508,182,-4,218,-10,-29,17,-3,0,20,20,20,20,20,20,9.7471570792,11.922983968,11.197141155,10.092317321,4.7486149873,5.3975670668,4.3676791741,3.6770458457,4.9985420919,6.5254169016,6.8294619813,6.4152714755,-0.083309035,2.3362603722,3.970617431,4.6158660616,42.404298746,12.325787481,-4.288266825,12.439367861,42.320989711,14.662047853,-0.317649394,17.055233923
050,4,8,16,083,Idaho,Twin Falls County,90048,90374,92410,93973,95404,96509,326,2036,1563,1431,1105,289,1092,1128,1135,1150,231,951,1091,950,877,58,141,37,185,273,3,37,294,342,422,266,1911,1214,901,407,269,1948,1508,1243,829,-1,-53,18,3,3,1714,1713,1718,1714,1717,1720,11.948529412,12.104108207,11.986672088,11.984597187,10.40572479,11.707076289,10.032897342,9.1395580289,1.5428046218,0.3970319181,1.9537747456,2.8450391584,0.4048494398,3.1547941604,3.6118430432,4.3978260983,20.909926471,13.026939152,9.5154110584,4.2415052654,21.31477591,16.181733313,13.127254102,8.6393313637
050,4,8,16,085,Idaho,Valley County,11742,11842,12258,12436,12630,12777,100,416,178,194,147,23,90,69,86,92,17,101,106,95,91,6,-11,-37,-9,1,0,-2,1,0,1,107,454,205,201,146,107,452,206,201,147,-13,-25,9,2,-1,141,141,141,141,141,141,7.468879668,5.588402041,6.8618846246,7.2420986342,8.3817427386,8.5850813963,7.5799888295,7.1633801708,-0.912863071,-2.996679355,-0.718104205,0.0787184634,-0.165975104,0.0809913339,0,0.0787184634,37.676348548,16.603223455,16.037660576,11.492895659,37.510373444,16.684214789,16.037660576,11.571614122
050,4,8,16,087,Idaho,Washington County,10499,10560,10905,11198,11508,11539,61,345,293,310,31,27,94,111,134,136,36,150,183,169,170,-9,-56,-72,-35,-34,0,1,74,77,93,77,418,279,266,-29,77,419,353,343,64,-7,-18,12,2,1,145,145,145,145,145,145,8.7584439786,10.043885445,11.803047653,11.801969888,13.976240391,16.558838167,14.885933234,14.75246236,-5.217796413,-6.514952721,-3.082885581,-2.950492472,0.0931749359,6.6959236303,6.782348278,8.0704647026,38.947123224,25.245441795,23.429930415,-2.51659652,39.04029816,31.941365426,30.212278693,5.5538681824
